,open,high,low,close,volume
370,97400,97400,97300,97400,2818
371,97400,97400,97300,97400,6703
372,97300,97400,97300,97400,4917
373,97400,97500,97300,97300,9540
374,97400,97500,97300,97400,6531
375,97400,97500,97400,97400,8857
376,97500,97600,97400,97400,13215
377,97500,97500,97400,97500,4651
378,97500,97500,97400,97400,7882
379,97400,97500,97300,97500,9891
380,97500,97500,97500,97500,0
381,97500,97500,97500,97500,0
382,97500,97500,97500,97500,0
383,97500,97500,97500,97500,0
384,97500,97500,97500,97500,0
385,97500,97500,97500,97500,0
386,97500,97500,97500,97500,0
387,97500,97500,97500,97500,0
388,97500,97500,97500,97500,0
389,97500,97500,97500,97500,0
390,97900,97900,97900,97900,150503
